Original Row Number,02 Gender,03 Height (in.),04 Weight (lbs.),05 Desired Weight (lbs.),06 Class Level,07 Born in TN?,08 Member of Frat/Sorority?,09 Current GPA,10 Where Do You Sit?,11 Type Of Computer Used?,12 Text Messages Sent Per Day,13 $ Spent on Haircut,14 Percent of Tuition You Pay,15 One or More Parents College Grad?,16 Hours Working a Job Per Week,17 Minutes Per Day on "Facebook",18 Talk on Cell Phone While Driving?,19 Read Text Messages While Driving?,20 Send Text Messages While Driving?,21 Number of Tattoos,22 Number of Body Piercings,23 Grade in Math 125,24 Expected Grade in Stat 201,25 Left or Right Handed?,26 Hand You Hold Phone to Ear,27 Which Wrist Wear Watch,28 Introvert or Extravert,29 Fold or Crumple Toilet Paper,30 Hours per Week Playing Video Games,31 Fold Hands - Thumb on Top?,32 Fuel Efficiency (mpg),33 Distance from Home to UT,34 Hair Color,35 Own an e-Reader?,36 Percentage Dateable,37 Cell Phone Contacts,38 Cell Phone Contacts Gender Majority,39 Right Foot Bigger Toe,40 Left Foot Bigger Toe,41 Percent UT You Are More Attractive Than,42 Percent UT You Are More Intelligent Than,43 Percent UT You Are More Athletic Than,44 Percent UT You Are Funnier Than,45 Percent UT You Are More Wealthy Than,46 Change in Pocket/Purse,47 Significant Other?,48 Your Own Attractiveness Rating,49 Number of Vol Football Games Attended,50 Favorite TV Show,Studentized Resid 42 Percent UT You Are More Intelligent Than,h 42 Percent UT You Are More Intelligent Than,Cook's D Influence 42 Percent UT You Are More Intelligent Than
349,Female,66,150,135,Senior,Yes,No,3.6,Near the Front,Mac,100,35,0,Yes,15,30,Frequently,Frequently,Frequently,0,3,A,A,Left,Right,Right,Introvert,Crumple,0,Right,18,18.7,Red,No,2,250,Same,Same,Same,25,50,15,15,40,0.5,Yes,75,20,Friends,0.6586774658,0.0129659278,0.0002374684
350,Female,53,152,140,Sophomore,No,Yes,3.19,Around the Middle,PC,150,20,15,Yes,0,240,Occasionally,On Rare Occasions,On Rare Occasions,0,5,B,B-,Right,Right,Left,Introvert,Fold,0,Right,0,233,Black,No,5,103,Females,Same,Same,5,10,25,25,20,0.57,No,100,2,Meet the Browns,-1.066472499,0.0688142214,0.0035021113
351,Female,56,218,145,Sophomore,No,No,3.1,Near the Back,PC,61,35,100,No,25,0,Frequently,Occasionally,On Rare Occasions,0,3,A-,A-,Right,Left,Left,Introvert,Crumple,0,Left,30,3.5,Blond,Yes,0.5,74,Same,Second Toe,Second Toe,0,95,0,50,0,9.5,Yes,50,2,How it's made.,2.6607796115,0.0557598709,0.0174199086
352,Female,60,106,105,Sophomore,Yes,No,3.93,Around the Middle,PC,200,0,0,No,25,45,Frequently,Occasionally,Occasionally,0,4,A,A,Right,Left,Left,Extravert,Fold,0,Left,32,11.5,Red,No,20,150,Same,Big Toe,Big Toe,40,60,45,15,80,0.16,No,60,3,i do not watch tv,0.3134286465,0.0326995923,0.0001383716
353,Male,72,145,160,Junior,Yes,No,3,Near the Back,PC,5,15,0,No,0,5,Occasionally,Occasionally,Occasionally,0,0,B,B+,Left,Left,Right,Introvert,Fold,20,Left,17,182,Black,No,30,50,Same,Big Toe,Big Toe,60,85,60,65,85,100,No,75,10,Tim and Eric Awesome Show,0.5478770906,0.0591395606,0.0007861545
354,Female,66,135,135,Sophomore,Yes,Yes,2.65,Near the Front,Mac,20,60,0,Yes,0,60,Occasionally,On Rare Occasions,On Rare Occasions,0,2,B-,B,Right,Varies,Left,Extravert,Varies,0,Left,17,7.7,Blond,No,75,300,Same,Big Toe,Big Toe,50,50,50,50,50,0,No,50,50,House,0.0218890467,0.0201605192,4.1076103e-7
355,Male,74,145,150,Junior,No,No,3.88,Around the Middle,PC,3,15,10,Yes,0,10,Occasionally,Occasionally,Occasionally,0,0,A,A-,Right,Right,Left,Introvert,Fold,1,Right,24,195,Brown,No,10,127,Males,Second Toe,Second Toe,60,60,20,70,20,1.15,No,65,2,Arrested Development,-0.109021876,0.0224283296,0.0000113623
356,Male,74,160,190,Junior,Yes,No,3,Around the Middle,Mac,5,34,0,Yes,0,0,Occasionally,Occasionally,Occasionally,0,0,B+,B+,Right,Right,Left,Introvert,Crumple,21,Left,0,189,Brown,No,30,86,Same,Big Toe,Big Toe,80,70,90,70,60,0,No,87,16,Tosh.0,-0.257413319,0.040473094,0.0001164555
357,Female,58,104,98,Junior,No,No,2.6,Around the Middle,PC,100,30,50,Yes,25,120,Frequently,Occasionally,Occasionally,1,6,B-,A-,Right,Right,Right,Extravert,Crumple,0,Left,0,864,Brown,No,4,200,Same,Same,Big Toe,40,40,50,90,50,3,No,50,10,30 Rock,-0.809523543,0.0461284577,0.0013204646
358,Female,67,120,115,Junior,Yes,No,3.87,Near the Front,Mac,40,60,0,Yes,0,20,Frequently,On Rare Occasions,On Rare Occasions,0,2,A,A,Left,Left,Right,Introvert,Varies,0,Left,0,2.9,Blond,No,5,120,Same,Big Toe,Big Toe,30,30,20,10,10,100,Yes,70,60,Say yes to the Dress,-0.485211657,0.0641968712,0.0006729466
359,Female,66,190,150,Freshman,No,No,0,Near the Back,PC,40,15,0,Yes,0,60,Occasionally,Occasionally,Occasionally,0,3,A,B+,Right,Right,Left,Extravert,Fold,1,Right,25,741,Brown,No,60,100,Females,Big Toe,Big Toe,50,60,20,50,60,1.5,No,85,3,NCIS,1.3864064881,0.0601403959,0.0051247563
360,Male,74,190,185,Junior,No,No,3.85,Near the Back,PC,80,20,0,Yes,0,60,Frequently,Frequently,Frequently,0,0,A,A,Right,Right,Right,Extravert,Fold,10,Left,15,570,Blond,No,30,200,Same,Big Toe,Big Toe,60,80,60,80,70,0,No,60,30,swamp people,0.3212160312,0.016216378,0.0000708659
361,Male,69,184,170,Senior,No,Yes,3.41,Near the Front,PC,40,0,100,Yes,0,60,On Rare Occasions,On Rare Occasions,Never,0,0,A,A,Right,Left,Left,Extravert,Fold,0.5,Right,27,184,Black,No,30,165,Same,Second Toe,Big Toe,20,70,60,50,35,13,No,35,19,House,0.6147296722,0.0234227222,0.0003776486
362,Female,69,115,125,Sophomore,Yes,No,3.32,Around the Middle,PC,200,70,50,Yes,10,240,Practically Every Time I Drive,Practically Every Time I Drive,Practically Every Time I Drive,0,7,A,B+,Right,Right,Left,Extravert,Crumple,2,Left,26,20,Brown,No,1,194,Same,Big Toe,Big Toe,95,65,90,95,60,0.79,Yes,95,60,The Office,-0.563671647,0.0492716573,0.0006860912
363,Male,72,187,180,Junior,Yes,Yes,3.11,Near the Back,Mac,40,13,0,Yes,12,120,Frequently,Practically Every Time I Drive,Practically Every Time I Drive,0,0,C-,B,Right,Varies,Left,Extravert,Crumple,0,Left,13,0,Brown,No,20,235,Same,Second Toe,Big Toe,70,30,50,60,80,23,Yes,75,23,house,-1.879669072,0.013735473,0.0020502261
364,Male,74,210,210,Junior,Yes,No,2.49,Somewhere Different All The Time,PC,30,0,80,No,0,30,Occasionally,Frequently,On Rare Occasions,0,0,A-,A,Right,Right,Left,Introvert,Fold,3,Left,0,182,Black,No,0,51,Males,Big Toe,Big Toe,60,50,75,100,10,0,Yes,75,21,espn first take,-0.798016162,0.0316666664,0.00086774
365,Female,62,110,125,Sophomore,Yes,No,2.81,Near the Front,PC,50,0,0,No,0,240,Practically Every Time I Drive,Frequently,Frequently,0,2,C+,B,Right,Right,Left,Extravert,Fold,0,Right,0,411,Brown,No,10,41,Males,Same,Same,50,50,50,70,45,1.06,Yes,80,1,Martin,-0.031437421,0.0335541767,1.4297221e-6
366,Female,65,135,135,Junior,Yes,No,2.59,The Front Row,PC,0,0,0,No,30,10,Never,Never,Never,0,3,B,B+,Right,Right,Left,Extravert,Fold,0,Right,25,286,Black,No,0,0,No Cell Phone,Second Toe,Second Toe,50,50,10,20,100,0,Yes,75,12,KEEPING UP WITH THE KARDASHIANS,-0.127467556,0.0423278992,0.0000299225
367,Female,62,145,120,Freshman,Yes,No,4,Around the Middle,Mac,20,25,50,Yes,0,45,Frequently,Occasionally,On Rare Occasions,0,2,A,A,Right,Right,Left,Introvert,Varies,1,Left,23,16.9,Brown,No,35,70,Females,Same,Same,50,7,25,60,50,28.33,No,70,7,Bones,-3.428923476,0.0168254839,0.0083838074
368,Female,69,130,125,Sophomore,Yes,No,3.7,Around the Middle,PC,150,65,0,Yes,30,30,Frequently,On Rare Occasions,On Rare Occasions,0,4,B-,A-,Right,Left,Left,Introvert,Crumple,0,Left,22,380,Blond,No,1,182,Same,Second Toe,Second Toe,10,20,10,50,5,10.79,Yes,90,15,NCIS,-0.627224871,0.0380142122,0.0006477578
369,Female,60,125,120,Sophomore,No,Yes,3.43,Near the Front,Other,150,0,100,No,15,30,On Rare Occasions,Practically Every Time I Drive,Frequently,0,6,A,A,Right,Right,Left,Extravert,Crumple,0,Right,20,14.3,Brown,No,15,167,Males,Big Toe,Big Toe,70,50,25,50,25,0,No,75,10,"Jersey ShoreGrey's Anatomy",-0.783791592,0.0303241516,0.0008004829
370,Female,65,128,128,Junior,No,No,3.66,Near the Front,Mac,15,0,0,Yes,0,60,Occasionally,Occasionally,Never,0,0,A,A,Right,Right,Right,Introvert,Varies,0,Left,24,10,Brown,No,5,200,Females,Second Toe,Second Toe,50,50,20,20,60,1.35,Yes,65,6,Color Splash with David Bromstad,-0.260772739,0.0188031778,0.0000542986
371,Female,62,135,110,Junior,Yes,Yes,3.82,Near the Front,Mac,20,80,100,Yes,32,30,Occasionally,Practically Every Time I Drive,Practically Every Time I Drive,0,2,A,A,Right,Right,Left,Introvert,Crumple,0,Right,0,20,Brown,No,2,236,Females,Second Toe,Second Toe,60,80,60,60,2,0,No,77,7,True Blood,0.8547660744,0.0428571701,0.0013631073
372,Male,69,210,170,Sophomore,No,No,2.64,Somewhere Different All The Time,PC,5,0,100,Yes,0,30,On Rare Occasions,Never,Never,0,0,C,A,Left,Left,Left,Introvert,Crumple,5,Left,21,14.9,No Hair,No,1,40,Same,Big Toe,Big Toe,0,95,0,85,0,0,No,50,1,The Amazing Race,2.7693952555,0.0420721936,0.0140352781
373,Female,61,130,120,Sophomore,No,No,2.83,Near the Front,PC,150,20,100,Yes,35,60,Frequently,Occasionally,Occasionally,2,6,D+,B-,Left,Right,Right,Extravert,Fold,0,Left,0,180,Brown,No,100,323,Same,Big Toe,Big Toe,80,50,75,30,0,0,Yes,89,5,Secret life of an American Teenager,-0.106867935,0.0625959381,0.0000317763
374,Female,64,108,106,Sophomore,No,Yes,3.93,Around the Middle,Mac,200,10,100,Yes,0,45,Occasionally,On Rare Occasions,On Rare Occasions,0,6,A,A,Right,Right,Left,Introvert,Fold,0,Right,13.5,71,Brown,No,10,200,Males,Second Toe,Same,50,70,30,30,40,0,No,70,20,Iron Chef,0.7833559055,0.0295481866,0.0007785094
375,Female,64,130,120,Junior,Yes,Yes,2.79,Around the Middle,Mac,45,130,0,Yes,25,190,Occasionally,Frequently,Frequently,0,2,B+,B-,Right,Right,Right,Extravert,Crumple,0,Right,15,10.3,Blond,No,40,350,Same,Big Toe,Big Toe,40,40,20,35,60,1.65,No,60,132,Criminal Minds,0.0825995742,0.0542049453,0.0000162924
376,Female,67,145,130,Sophomore,Yes,Yes,4,Near the Front,Other,100,45,0,Yes,0,60,Frequently,Practically Every Time I Drive,Practically Every Time I Drive,0,5,A,A,Right,Left,Left,Extravert,Varies,0,Left,15,21,Brown,No,30,250,Same,Big Toe,Second Toe,50,70,20,20,40,20,Yes,70,30,Bachelor,1.1410039136,0.0159301064,0.0008781238
377,Female,66,135,125,Sophomore,No,Yes,3.3,Around the Middle,Mac,75,60,10,Yes,15,60,Practically Every Time I Drive,Practically Every Time I Drive,Practically Every Time I Drive,0,4,A-,A,Right,Left,Left,Extravert,Fold,1,Left,28,4.9,Brown,No,5,134,Same,Second Toe,Second Toe,95,65,40,80,10,3.75,Yes,95,9,Teen Mom,-0.227345057,0.0241967405,0.0000534016
378,Female,68.4,120,125,Sophomore,Yes,No,3.2,Around the Middle,PC,300,50,100,Yes,10,120,Frequently,Frequently,Occasionally,0,4,C+,B+,Right,Right,Left,Introvert,Crumple,0,Left,0,181.87,Brown,No,30,140,Same,Same,Same,20,40,10,50,10,0,No,80,6,Sex and the City,0.5006937826,0.0394044387,0.0004284871
379,Male,65,150,130,Junior,Yes,No,3.56,Around the Middle,PC,30,16,0,Yes,6,60,Occasionally,On Rare Occasions,On Rare Occasions,0,0,A,B,Right,Left,Left,Extravert,Fold,0,Left,20,105,Red,No,20,264,Same,Same,Same,40,60,50,70,60,35,No,21,21,Glee,-0.22115678,0.028579566,0.0000599567
380,Male,76,186.5,185,Junior,Yes,No,3.78,Somewhere Different All The Time,PC,50,8,0,Yes,0,75,Frequently,Occasionally,Occasionally,0,0,A,A,Right,Varies,Left,Extravert,Fold,0,Right,20,139,Brown,No,25,541,Females,Same,Same,85,90,75,95,50,0,No,80,18,glee,0.7763489919,0.0285184646,0.0007372153
381,Female,60,110,103,Junior,No,No,3.29,Near the Front,Mac,75,20,0,No,15,30,Never,Never,Never,0,5,A,B-,Right,Right,Right,Extravert,Fold,1,Left,0,384,Black,No,1,130,Same,Big Toe,Big Toe,90,85,80,30,40,1.25,Yes,94,1,"ANTMRoad Rules/Real World ChallengesHellcats",1.1221471178,0.029591638,0.0015999368
382,Male,71,162,170,Junior,Yes,Yes,3.18,Near the Front,PC,15,20,0,Yes,0,20,Frequently,Occasionally,Occasionally,0,0,B+,A,Right,Right,Left,Extravert,Fold,0,Left,18,15,Blond,No,30,140,Same,Big Toe,Big Toe,70,90,60,90,85,0.25,No,78,14,the wire,0.8820979951,0.013217366,0.000434256
383,Female,64,170,150,Junior,No,Yes,2.85,Near the Front,PC,350,20,5,Yes,15,4,Frequently,Practically Every Time I Drive,Practically Every Time I Drive,0,4,A-,A-,Right,Left,Left,Introvert,Fold,0,Left,26,99.2,Brown,No,35,198,Same,Big Toe,Big Toe,30,50,35,40,50,0.63,Yes,80,14,NCIS,0.5681412799,0.0245438476,0.0003384047
384,Female,68,102,102,Senior,No,No,3,Near the Front,Mac,15,35,0,Yes,20,15,Occasionally,Occasionally,Occasionally,0,4,C+,A-,Left,Left,Left,Introvert,Varies,0,Right,18,10,Brown,No,5,80,Same,Big Toe,Big Toe,40,40,0,20,60,0.76,Yes,70,4,Law and Order SVU,0.0111065226,0.0249229992,1.3137307e-7
385,Female,62,120,110,Senior,Yes,No,3.5,Near the Front,Mac,20,50,0,Yes,10,40,Never,Never,Never,0,3,B-,C,Right,Right,Left,Introvert,Varies,7,Left,0,199,Brown,No,3,57,Same,Big Toe,Big Toe,10,60,10,50,80,0.5,Yes,60,2,The Daily Show,0.7337062723,0.0285225775,0.0006585508
386,Female,63,116,112,Sophomore,Yes,Yes,3.87,Around the Middle,PC,30,30,0,Yes,15,15,On Rare Occasions,Never,Never,0,3,A,A-,Right,Right,Left,Extravert,Fold,0,Left,25,380,Brown,No,20,100,Same,Big Toe,Big Toe,60,60,50,60,50,1.15,Yes,75,10,modern family,-0.414049354,0.0107783281,0.0000778307
387,Female,63,115,115,Sophomore,No,No,3.6,Near the Front,PC,50,35,0,Yes,20,1,Occasionally,On Rare Occasions,On Rare Occasions,0,3,B+,A,Left,Left,Left,Extravert,Fold,0,Right,23,0.5,Red,No,20,100,Same,Big Toe,Big Toe,30,30,50,50,25,2.85,No,60,8,True Blood,-1.066371713,0.0126557973,0.0006073331
388,Female,69,130,125,Junior,Yes,No,2.4,Around the Middle,Mac,450,50,100,Yes,25,60,Frequently,Frequently,Frequently,0,5,C,B,Right,Right,Right,Extravert,Crumple,0,Right,17,189,Brown,No,30,200,Same,Second Toe,Second Toe,10,20,45,20,50,30,Yes,85,1,that 70's show,-0.313221493,0.0533812534,0.0002305184
389,Female,64,130,125,Junior,Yes,No,3.5,Around the Middle,PC,100,30,100,No,0,30,On Rare Occasions,Practically Every Time I Drive,Frequently,0,4,A,A,Right,Varies,Left,Introvert,Fold,8,Left,25,14,Blond,No,10,200,Males,Big Toe,Big Toe,50,80,60,40,20,1.63,Yes,70,8,Mercy,0.9382298023,0.0218624831,0.0008197979
390,Male,67,140,140,Junior,Yes,No,3.04,The Front Row,PC,25,12,10,Yes,0,120,On Rare Occasions,On Rare Occasions,Never,0,0,B,B,Right,Right,Left,Extravert,Crumple,10,Left,26,171.64,Brown,No,20,452,Same,Same,Second Toe,75,50,75,90,40,0,No,87,5,"I don't watch TV, but I suppose South Park or Tosh.0",-1.197666549,0.0246607087,0.0015111599
391,Male,69,205,250,Junior,Yes,No,3.1,Near the Back,PC,45,15,25,No,35,0,Frequently,Frequently,Practically Every Time I Drive,0,0,B+,B,Right,Right,Left,Extravert,Fold,1,Right,12,6,Brown,No,99,58,Males,Second Toe,Second Toe,90,50,70,40,40,12,No,85,48,entourage,-1.091735286,0.0794323307,0.0042851402
392,Female,64,142,135,Senior,Yes,No,3.67,Around the Middle,PC,30,40,0,Yes,10,45,Frequently,Frequently,On Rare Occasions,0,2,B,A,Right,Left,Left,Introvert,Fold,0,Right,30,8,Brown,No,25,103,Females,Second Toe,Same,25,60,35,40,40,1.15,No,45,4,Dancing with the Stars,0.4978249485,0.0112908019,0.0001179229
393,Male,74,170,180,Sophomore,Yes,No,3.1,Near the Back,PC,10,12,100,Yes,0,1,Occasionally,Frequently,Occasionally,0,0,A,A-,Right,Varies,Left,Introvert,Fold,10,Right,20,14.6,Brown,No,30,1,Same,Big Toe,Big Toe,60,80,80,50,50,0,No,60,8,survivor,0.4029564542,0.0238754067,0.0001654819
394,Male,76,235,235,Junior,No,No,3,Near the Front,PC,200,20,60,Yes,20,15,Occasionally,On Rare Occasions,On Rare Occasions,0,0,D+,A-,Right,Varies,Left,Extravert,Crumple,0,Left,30,400,Blond,No,35,210,Same,Big Toe,Big Toe,70,70,60,60,50,0,No,70,14,Sons of Anarchy,0.1313942292,0.0234736139,0.0000172917
395,Female,65,125,120,Senior,No,No,2.84,The Front Row,Mac,8,30,50,No,0,45,Frequently,On Rare Occasions,On Rare Occasions,0,7,B+,A-,Right,Right,Left,Extravert,Crumple,0,Left,17,0,Brown,No,64,200,Same,Big Toe,Big Toe,42,78,94,73,22,0,Yes,84,16,Criminal minds,1.3063094004,0.0407608419,0.0030213227
396,Male,69,162,170,Sophomore,Yes,No,2.8,Around the Middle,Mac,25,25,10,Yes,0,60,Occasionally,On Rare Occasions,On Rare Occasions,0,0,B+,B+,Right,Right,Left,Extravert,Fold,2,Left,15,177,Brown,No,20,103,Males,Same,Big Toe,80,30,85,50,60,1.25,No,86,25,The Office,-2.066307226,0.0096473216,0.0017329875
397,Male,73,192,189,Sophomore,Yes,No,3.3,Near the Front,PC,30,0,100,Yes,25,0,Frequently,Practically Every Time I Drive,Frequently,0,0,B+,B,Ambidextrous,Right,Left,Extravert,Fold,15,Right,18.772,11.7,Brown,No,7.889,91,Males,Second Toe,Second Toe,1,1,2,3,23,0,Yes,24,28,family guy,-2.117917502,0.0420775664,0.0082096966
398,Female,64,155,130,Junior,Yes,No,2.4,Around the Middle,Mac,75,50,50,No,15,180,Occasionally,Frequently,Frequently,0,2,B+,B+,Right,Right,Left,Introvert,Fold,2,Left,25,8.6,Brown,No,1,151,Females,Big Toe,Big Toe,88,42,20,78,45,0.8,Yes,94,5,Law and Order: SVU,-1.323100195,0.0256438827,0.0019197306
399,Female,64,105,110,Junior,Yes,No,4,Near the Front,PC,10,40,0,Yes,0,30,Frequently,Occasionally,On Rare Occasions,0,4,A,A,Right,Left,Left,Introvert,Crumple,0,Right,0,16.6,Brown,No,10,60,Females,Big Toe,Same,50,50,30,20,30,50,Yes,85,25,Friends,-0.014923509,0.0286017049,2.7322801e-7
400,Female,67,135,120,Sophomore,Yes,Yes,3.6,Around the Middle,PC,60,14,25,Yes,8,60,Practically Every Time I Drive,Practically Every Time I Drive,Practically Every Time I Drive,0,3,A,A-,Right,Right,Left,Introvert,Crumple,0,Left,20,34.9,Blond,No,75,118,Same,Second Toe,Second Toe,30,40,20,30,40,1.25,No,75,30,Snapped,-0.185159517,0.0195362549,0.0000284637
401,Female,65,110,110,Junior,No,No,3.5,Around the Middle,PC,1,15,0,Yes,0,0,Occasionally,Never,Never,0,8,A,A,Right,Varies,Right,Introvert,Varies,0,Left,30,43,Blond,No,0,58,Males,Same,Same,60,70,80,10,10,1.5,Yes,70,0,true blood,0.9169680357,0.0455609783,0.0016724071
402,Female,62,110,105,Sophomore,No,Yes,3.4,Around the Middle,Mac,75,150,0,No,0,30,Occasionally,Occasionally,Occasionally,2,4,A-,A-,Right,Right,Left,Introvert,Crumple,0,Left,23,63,Blond,No,20,160,Females,Same,Second Toe,5,5,50,5,10,2.67,Yes,50,12,Sons of Anarchy,-1.335145264,0.0614369835,0.0048619697
403,Male,76,195,200,Sophomore,Yes,No,3.4,Near the Front,PC,75,15,0,Yes,0,120,Occasionally,Occasionally,Occasionally,0,0,A,B,Ambidextrous,Left,Left,Introvert,Crumple,3,Right,21,167.53,Brown,No,36,215,Females,Big Toe,Second Toe,93,67,95,90,70,0,No,89,10,The Office,-0.773642109,0.0140879237,0.0003563508
404,Female,60,122,122,Junior,Yes,No,2.56,Near the Back,Other,70,10,0,No,20,120,On Rare Occasions,Frequently,Frequently,0,2,C,B-,Left,Left,Right,Introvert,Crumple,0,Left,0,193,Brown,No,3,200,Females,Big Toe,Big Toe,100,50,60,70,5,0.82,No,100,15,A Different World,-0.588472037,0.0370955282,0.0005558771
405,Female,66,150,125,Sophomore,No,No,3.24,Around the Middle,PC,50,30,0,Yes,0,60,Frequently,Frequently,Occasionally,0,3,B+,A-,Right,Right,Left,Introvert,Crumple,0,Right,20,5,Brown,No,30,200,Females,Second Toe,Second Toe,8,20,1,2,70,2.73,No,7,10,Gilmore Girls,-0.825082986,0.0312327779,0.0009144821
406,Female,66,120,120,Sophomore,Yes,Yes,3,Around the Middle,Mac,50,20,0,No,0,30,Frequently,Frequently,Frequently,0,4,C,A,Right,Right,Left,Extravert,Crumple,0,Left,17,379.6,Brown,No,10,150,Females,Same,Same,80,60,60,60,60,10,Yes,80,5,"greys anatomydesperate housewivesgossip girl",-0.382025028,0.0115749062,0.0000712108
407,Female,69,136,137,Senior,Yes,No,3.63,Around the Middle,Mac,45,38,0,Yes,15,30,Frequently,Frequently,Occasionally,0,2,B+,B+,Right,Right,Left,Introvert,Crumple,1,Left,0,26,Brown,No,10,90,Same,Big Toe,Big Toe,70,75,85,50,40,2.75,Yes,70,25,Say Yes to the Dress,0.6869762704,0.0181571052,0.0003636443
408,Female,66,134,130,Senior,Yes,Yes,2.65,Near the Front,Mac,20,30,0,Yes,20,60,Occasionally,Occasionally,On Rare Occasions,0,4,B,B,Right,Right,Left,Introvert,Crumple,0,Right,28,1.84,Brown,No,20,208,Same,Second Toe,Big Toe,70,40,20,50,60,0.15,No,80,40,NCIS,-0.83571382,0.0172894408,0.0005119874
409,Male,67,250,200,Sophomore,Yes,Yes,2.46,Near the Front,PC,30,12,0,Yes,0,4,Occasionally,On Rare Occasions,On Rare Occasions,0,0,A,B+,Left,Left,Left,Extravert,Fold,0,Left,0,389,Black,No,30,130,Same,Same,Same,70,80,10,90,50,0,No,100,0,The Big Bang Theory,0.9009714871,0.0463189375,0.0016427304
410,Female,67,112,110,Junior,No,No,3.08,Around the Middle,Mac,50,45,100,Yes,25,0,Frequently,Occasionally,Occasionally,3,6,A,B+,Right,Left,Left,Introvert,Crumple,0,Right,22,14.9,Red,No,20,108,Same,Second Toe,Big Toe,70,40,60,40,60,0,No,80,20,Grey's Anatomy,-1.283519618,0.0441949297,0.0031739267
411,Female,65,140,130,Junior,No,No,2.76,Near the Back,PC,20,20,80,Yes,10,30,Occasionally,Frequently,Frequently,0,4,A-,B,Right,Varies,Left,Extravert,Fold,0,Right,23,10,Brown,No,10,322,Same,Big Toe,Big Toe,15,10,30,50,10,2,No,75,10,Phineas and Ferb,-1.603580978,0.0199534658,0.0021814346
412,Female,67,143,125,Junior,Yes,Yes,2.85,Near the Front,PC,100,125,0,Yes,0,60,Practically Every Time I Drive,Practically Every Time I Drive,Frequently,0,2,C+,B+,Right,Right,Left,Extravert,Fold,0,Right,23,5.4,Brown,No,20,240,Same,Big Toe,Big Toe,60,40,15,75,65,0,Yes,80,75,the office,-0.872582773,0.0367426998,0.0012101265
413,Male,73,150,170,Sophomore,Yes,Yes,2.69,The Back Row,Mac,20,14,0,Yes,0,45,Occasionally,Frequently,Frequently,0,0,B,B,Ambidextrous,Right,Right,Extravert,Crumple,7,Left,14,219,Brown,No,10,291,Females,Second Toe,Second Toe,75,75,50,75,75,4,No,100,40,Entourage,0.54222595,0.0180604615,0.0002253167
414,Female,66,115,115,Junior,No,No,2.75,Near the Back,Mac,100,45,0,No,10,90,Frequently,Frequently,Frequently,1,2,C,B+,Right,Right,Left,Introvert,Fold,4,Right,18,23,Brown,No,40,360,Males,Big Toe,Big Toe,10,15,20,5,30,7,Yes,35,30,Friends,-0.419514173,0.0227102582,0.0001704044
415,Male,73,125,138,Sophomore,Yes,No,3.51,Around the Middle,Mac,30,30,60,Yes,15,30,Frequently,Frequently,Occasionally,0,0,A,A,Left,Left,Right,Extravert,Fold,0,Right,25,124,Brown,No,2,75,Males,Second Toe,Second Toe,98,94,97,80,65,0,Yes,90,10,LOST,0.4150451472,0.0210176216,0.0001540949
416,Female,64,185,160,Junior,No,No,3.52,Near the Front,PC,2,15,0,Yes,0,1,On Rare Occasions,On Rare Occasions,Never,0,2,C+,B+,Right,Left,Left,Introvert,Fold,0,Right,26,13.4,Brown,No,50,38,Females,Same,Same,20,50,20,35,20,18.65,No,65,5,Trueblood,0.1823450788,0.0203940436,0.0000288422
417,Female,62,137,120,Junior,No,No,3.2,Near the Front,PC,3,35,0,Yes,0,30,On Rare Occasions,On Rare Occasions,On Rare Occasions,0,2,A,B,Right,Left,Left,Extravert,Fold,10,Right,17,314.91,Blond,No,20,20,Females,Big Toe,Big Toe,30,70,75,80,80,0.83,No,67,0,Foster's Home for Imaginary Friends,0.1428958784,0.0291392644,0.0000255358
418,Male,69,180,170,Junior,Yes,Yes,2.8,Around the Middle,PC,22,15,10,No,15,25,Occasionally,Frequently,On Rare Occasions,0,0,A,B+,Right,Varies,Left,Extravert,Varies,1.5,No Thumbs,18,6.5,Brown,No,0,76,Males,Big Toe,Big Toe,100,75,80,35,20,0,Yes,99,36,Pawn Stars,0.4431289171,0.0251491272,0.0002110735
419,Male,74,145,160,Junior,Yes,No,2.4,Around the Middle,Mac,50,10,1.2,No,25,15,On Rare Occasions,Never,Never,0,0,C,B-,Right,Right,Left,Introvert,Fold,1,Left,34,0.1,Brown,No,98,150,Same,Big Toe,Big Toe,20,20,25,80,10,0,Yes,80,0,sons of anarchy,-0.799845881,0.0527143732,0.00148337
420,Female,73,185,180,Junior,Yes,No,3.14,The Front Row,PC,20,50,0,Yes,0,45,Occasionally,Occasionally,Occasionally,0,2,B+,A-,Right,Right,Left,Extravert,Crumple,0,Left,14,371,Brown,No,15,459,Same,Big Toe,Big Toe,50,70,99,40,50,3,No,70,15,Friday Night Lights,0.7848871613,0.0272921304,0.0007202085
421,Male,73,170,170,Freshman,Yes,No,3.5,Around the Middle,Mac,50,12,10,Yes,0,60,Occasionally,On Rare Occasions,On Rare Occasions,0,0,A,B+,Right,Right,Left,Introvert,Fold,10,Left,14,5,Brown,No,50,167,Same,Second Toe,Second Toe,60,50,85,80,45,0.35,Yes,80,110,family guy,-0.917123253,0.0244557652,0.0008785742
422,Male,74.4,165,175,Sophomore,No,No,3.61,Near the Back,PC,70,25,30,Yes,0,20,Occasionally,Frequently,Frequently,0,0,A,B-,Right,Right,Left,Extravert,Varies,7,Left,0,381,Brown,No,50,148,Same,Big Toe,Big Toe,70,75,70,60,30,0,No,80,11,South Park,0.5425443206,0.0190001359,0.0002375456
